Symbol,Name,description
COG,Cabot Oil & Gas,"Cabot Oil & Gas Corporation, an independent oil and gas company, explores for, exploits, develops, produces, and markets natural gas, oil, and natural gas liquids in the United States. It primarily focuses on the Marcellus Shale with approximately 172,000 net acres in the dry gas window of the play located in Susquehanna County, Pennsylvania; and the Eagle Ford Shale with approximately 79,000 net acres in the oil window of the play located in Atascosa, Frio, and La Salle Counties, Texas. The company sells its natural gas to industrial customers, local distribution companies, gas marketers, and power generation facilities through gathering systems and pipelines. As of December 31, 2017, it had proved reserves of approximately 9,726 billion cubic feet of natural gas equivalent. The company was founded in 1989 and is headquartered in Houston, Texas."
CDNS,Cadence Design Systems,"Cadence Design Systems, Inc. provides electronic design automation software, emulation and prototyping hardware, system interconnect, and analysis worldwide. The company offers functional verification services, including emulation and prototyping hardware. Its functional verification offering consists of JasperGold, a formal verification platform; Xcelium, a parallel simulation platform; Palladium Z1, a verification computing platform; and Protium S1 field-programmable gate array prototyping platform. The company also provides digital integrated circuit (IC) design products, such as logic design products for chip planning, design, verification, and test technologies and services; physical implementation tools, including place and route, signal integrity, optimization, and multiple patterning preparation; and signoff products to signoff the design as ready for manufacture by a silicon foundry, as well as design for manufacturing products for use in the product development process. In addition, it offers custom IC design and verification products to create schematic and physical representations of circuits down to the transistor level for analog, mixed-signal, custom digital, memory, and radio frequency designs; and system interconnect design products to develop printed circuit boards and IC packages. Further, the company provides design intellectual property (IP) products consisting of pre-verified and customizable functional blocks to integrate into customer's ICs; and verification IP and memory models for use in system-level verification to model correct behavior of full systems interacting with their environments. Additionally, it offers services related to methodology, education, and hosted design solutions, as well as technical support and maintenance services. The company was founded in 1988 and is headquartered in San Jose, California."
CPB,Campbell Soup,"Campbell Soup Company, together with its subsidiaries, manufactures and markets branded food and beverage products. It operates through three segments: Americas Simple Meals and Beverages, Global Biscuits and Snacks, and Campbell Fresh. The Americas Simple Meals and Beverages segment engages in the retail and food service of Campbell's condensed and ready-to-serve soups; Swanson broth and stocks; Prego pasta sauces; Pace Mexican sauces; Campbell's gravies, pastas, beans, and dinner sauces; Swanson canned poultry products; Plum food and snack products; V8 juices and beverages; Campbell's tomato juices; and Pacific broth, soups, non-dairy beverages, and other simple meals. The Global Biscuits and Snacks segment offers Pepperidge Farm cookies, crackers, and bakery and frozen products in the United States retail; and Snyder's-Lance pretzels, sandwich crackers, potato chips, tortilla chips, and other snacking products in the United States and Europe. It also provides Arnott's biscuits in Australia and the Asia Pacific; Kelsen cookies worldwide; simple meals and shelf-stable beverages in Australia, the Asia Pacific, and Latin America. The Campbell Fresh segment offers Bolthouse Farms fresh carrots, carrot ingredients, refrigerated beverages, and refrigerated salad dressings; Garden Fresh Gourmet salsa, hummus, dips, and tortilla chips; and refrigerated soups in the Unites States. The company sells its products through retail food chains, mass discounters, mass merchandisers, club stores, convenience stores, drug stores, and dollar stores, as well as e-commerce and other retail, commercial, and non-commercial establishments; and independent contractor distributors. Campbell Soup Company was founded in 1869 and is headquartered in Camden, New Jersey."
COF,Capital One Financial,"Capital One Financial Corporation operates as the bank holding company for the Capital One Bank (USA), National Association; and Capital One, National Association, which provides various financial products and services in the United States, the United Kingdom, and Canada. It operates through three segments: Credit Card, Consumer Banking, and Commercial Banking. The company offers non-interest-bearing and interest-bearing deposits, such as checking accounts, money market deposit accounts, negotiable order of withdrawals, savings deposits, and time deposits. It also provides credit card loans; auto, home, and retail banking loans; and commercial and multifamily real estate, commercial and industrial, and small-ticket commercial real estate loans. In addition, the company offers credit and debit card products; online direct banking services; and treasury management and depository services. It serves consumers, small businesses, and commercial clients through the Internet and mobile banking, as well as through Cafés, ATMs, and branches located in New York, Louisiana, Texas, Maryland, Virginia, New Jersey, and the District of Columbia. Capital One Financial Corporation was founded in 1988 and is headquartered in McLean, Virginia."
CAH,Cardinal Health Inc.,"Cardinal Health, Inc. operates as an integrated healthcare services and products company in the United States and internationally. It provides medical products and pharmaceuticals, and solutions that enhance supply chain efficiency for hospitals, healthcare systems, pharmacies, ambulatory surgery centers, clinical laboratories, and physician offices. The company operates through two segments, Pharmaceutical and Medical. The Pharmaceutical segment distributes branded and generic pharmaceutical, specialty pharmaceutical, and over-the-counter healthcare and consumer products. It also provides services to support the development, marketing, and distribution of specialty pharmaceutical products, as well as pharmacy management, and medication therapy management and patient outcomes services to hospitals, other healthcare providers, and payers; operates nuclear pharmacies and radiopharmaceutical manufacturing facilities; and repackages generic pharmaceuticals and over-the-counter healthcare products. The Medical segment manufactures, sources, and distributes Cardinal Health branded medical, surgical, and laboratory products. It also distributes a range of national brand products; and medical products to patients' homes, as well as provides supply chain services and solutions to hospitals, ambulatory surgery centers, clinical laboratories, and other healthcare providers. Cardinal Health, Inc. was founded in 1979 and is headquartered in Dublin, Ohio."
KMX,Carmax Inc,"CarMax, Inc., through its subsidiaries, operates as a retailer of used vehicles in the United States. The company operates in two segments, CarMax Sales Operations and CarMax Auto Finance. It offers customers a range of makes and models of used vehicles, including domestic, imported, and luxury vehicles; vehicles that do not meet its retail standards to licensed dealers through on-site wholesale auctions; and extended protection plans to customers at the time of sale. The company also provides reconditioning and vehicle repair services; and financing alternatives for retail customers across a range of credit spectrum through its CarMax Auto Finance and arrangements with various financial institutions. In addition, it sells new vehicles under franchise agreements. As of December 4, 2018, the company operated approximately 200 stores in 41 states. CarMax, Inc. was founded in 1993 and is based in Richmond, Virginia."
CCL,Carnival Corp.,"Carnival Corporation operates as a leisure travel and cruise company. It offers cruises under the Carnival Cruise Line, Holland America Line, Princess Cruises, and Seabourn brands in North America; and AIDA, Costa, P&O Cruises (Australia), Cunard, and P&O Cruises (UK) brands in Europe, Australia, and Asia. The company operates approximately 100 cruise ships. It also owns Holland America Princess Alaska Tours, a tour company in Alaska; and the Canadian Yukon, which owns and operates hotels, lodges, glass-domed railcars, and motor coaches. In addition, the company is involved in the lease of cruise ships. It sells its cruises primarily through travel agents and tour operators. The company was incorporated in 1972 and is headquartered in Miami, Florida. Carnival Corporation is a subsidiary of Carnival Corporation & plc."
CAT,Caterpillar Inc.,"Caterpillar Inc. manufactures and sells construction and mining equipment, diesel and natural gas engines, industrial gas turbines, and diesel-electric locomotives for construction, resource, and energy and transportation industries. Its Construction Industries segment offers asphalt pavers, backhoe loaders, compactors, cold planers, compact truck and multi-terrain loaders, forestry excavators, feller bunchers, harvesters, knuckleboom loaders, motorgraders, pipelayers, road reclaimers, site prep tractors, skidders, skid steer loaders, telehandlers, track-type loaders, wheel excavators, and track-type tractors. The company's Resource Industries segment provides electric rope and hydraulic shovels, draglines, track and rotary drills, hard rock vehicles, large track-type vehicles, large mining trucks, longwall miners, large wheel loaders, off-highway trucks, articulated trucks, wheel tractor scrapers, wheel dozers, landfill compactors, soil compactors, machinery components, electronics and control systems, select work tools, and hard rock continuous mining systems. Its Energy & Transportation segment offers reciprocating engine powered generator sets; reciprocating engines; integrated systems used in the electric power generation industry; turbines, centrifugal gas compressors, and related services; integrated systems and solutions for the marine and oil and gas industries; remanufactured reciprocating engines and components; and diesel-electric locomotives and components, and other rail-related products and services. Its All Other operating segments manufactures filters and fluids, undercarriage, tires, rims, ground engaging tools, fluid transfer products, precision seals, and rubber sealing and connecting components; parts distribution; and digital investments services. The company was formerly known as Caterpillar Tractor Co. and changed its name to Caterpillar Inc. in 1986. The company was founded in 1925 and is headquartered in Deerfield, Illinois."
CBOE,Cboe Global Markets,"Cboe Global Markets, Inc., through its subsidiaries, operates as an options exchange in the United States. The company operates in five segments: Options, U.S. Equities, Futures, European Equities, and Global FX. The Options segment trades in listed market indexes. The U.S. Equities segment trades in listed cash equities; and provides exchange-traded products (ETP) transaction and ETP listing services. The Futures segment trades in futures, bitcoins, and other products. The European Equities segment trades in pan-European listed equities transaction services, ETPs, exchange-traded commodities, and international depository receipts. The Global FX segment provides institutional foreign exchange (FX) and non-deliverable forward FX transactions services. It has strategic relationships with S&P Dow Jones Indices, LLC; Frank Russell Company; FTSE International Limited; MSCI Inc.; DJI Opco, LLC; Cboe Vest Financial Group, Inc.; and Gemini Trust Company, LLC. The company was formerly known as CBOE Holdings, Inc. and changed its name to Cboe Global Markets, Inc. in October 2017. Cboe Global Markets, Inc. was founded in 1973 and is headquartered in Chicago, Illinois."
CBRE,CBRE Group,"CBRE Group, Inc. operates as a commercial real estate services and investment company worldwide. It operates through Americas; Europe, Middle East and Africa; Asia Pacific; Global Investment Management; and Development Services segments. The company offers strategic advice and execution to owners, investors, and occupiers of real estate in connection with leasing; integrated property sales, and mortgage and structured financing services under the CBRE Capital Markets brand; and valuation services that include market value appraisals, litigation support, discounted cash flow analyses, and feasibility studies, as well as consulting services, such as property condition reports, hotel advisory, and environmental consulting. It also provides facilities management, project management, transaction management, and strategic consulting services to occupiers of real estate; and property management services comprising construction management, marketing, building engineering, accounting, and financial services for owners/investors in office, industrial, and retail properties. In addition, the company provides investment management services under the CBRE Global Investors brand to pension funds, insurance companies, sovereign wealth funds, foundations, endowments, and other institutional investors; and development services under the Trammell Crow Company brand name primarily to users of and investors in commercial real estate. CBRE Group, Inc. was founded in 1906 and is headquartered in Los Angeles, California."
CBS,CBS Corp.,"CBS Corporation operates as a mass media company worldwide. The company operates through four segments: Entertainment, Cable Networks, Publishing, and Local Media. The Entertainment segment distributes a schedule of news and public affairs broadcasts, and sports and entertainment programming; produces, acquires, and/or distributes programming, including series, specials, news, and public affairs; operates online content networks for information and entertainment; produces, acquires, and distributes theatrical motion pictures; and digital streaming services. The Cable Networks segment offers subscription program services, such as original series, theatrical feature films, documentaries, boxing and other sports-related programming, and special events. This segment also operates CBS Sports Network, a 24-hour cable program service that provides college sports and related content; and Smithsonian Networks, which operates a channel featuring cultural, historical, scientific, and educational programs. The Publishing segment publishes and distributes adult and children's consumer books in printed, digital, and audio formats; develops special imprints and publishes titles based on the products of the company, as well as that of third parties; and distributes products for other publishers. This segment also delivers content; and promotes its products on its Websites, social media, and general Internet sites, as well as those related to individual titles. The Local Media segment owns 29 broadcast television stations; and operates local Websites, including content from the company's television stations. The company was founded in 1986 and is headquartered in New York, New York."
CELG,Celgene Corp.,"Celgene Corporation, a biopharmaceutical company, engages in the discovery, development, and commercialization of therapies for the treatment of cancer and inflammatory diseases worldwide. It offers REVLIMID, an oral immunomodulatory drug for multiple myeloma (MM), myelodysplastic syndromes (MDS), and mantle cell lymphoma; POMALYST/IMNOVID to treat multiple myeloma; OTEZLA, a small-molecule inhibitor of phosphodiesterase 4 for psoriatic arthritis and psoriasis; and ABRAXANE to treat breast, non-small cell lung, pancreatic, and gastric cancers. The company's products also include IDHIFA, a small molecule inhibitor of the isocitrate dehydrogenase 2 to treat acute myeloid leukemia (AML); VIDAZA, a pyrimidine nucleoside analog for intermediate-2 and high-risk MDS, chronic myelomonocytic leukemia, and AML; and THALOMID to treat patients with MM and erythema nodosum leprosum. Its clinical stage products comprise OTEZLA to treat various immune-inflammatory diseases; luspatercept for the treatment of patients with beta-thalassemia and MDS; CC-486 to treat MDS, AML, and solid tumors; LSD1 inhibitor to treat non-hodgkin lymphoma and solid tumors; CC-122 and CC-220 to treat hematological and solid tumor cancers, and inflammation and immunology diseases; CC-92480 to treat multiple myeloma; and durvalumab, an anti-PD-L1 antibody for hematological cancers. The company has agreements with BeiGene, Ltd; Acceleron Pharma, Inc.; Agios Pharmaceuticals, Inc.; Sutro Biopharma, Inc.; bluebird bio, Inc.; FORMA Therapeutics Holdings, LLC; OncoMed Pharmaceuticals, Inc.; NantBioScience, Inc.; AstraZeneca PLC; Lycera Corp.; Juno Therapeutics, Inc.; Nurix Inc.; Vividion Therapeutics, Inc.; Jounce Therapeutics, Inc.; Prothena Corporation plc; Zymeworks Inc.; and Evotec AG, as well as strategic collaborations with Skyhawk Therapeutics, Inc., Dragonfly Therapeutics, Inc., Obsidian Therapeutics, and Kyn Therapeutics. The company was founded in 1980 and is headquartered in Summit, New Jersey."
CNC,Centene Corporation,"Centene Corporation operates as a diversified and multi-national healthcare enterprise that provides programs and services to under-insured and uninsured individuals in the United States. It operates through two segments, Managed Care and Specialty Services. The Managed Care segment offers health plan coverage to individuals through government subsidized programs, including Medicaid, the State children's health insurance program, long-term care, foster care, and dual eligible individual, as well as aged, blind, or disabled programs. Its health plans include primary and specialty physician care, inpatient and outpatient hospital care, emergency and urgent care, prenatal care, laboratory and X-ray services, home-based primary care, transportation assistance, vision care, dental care, immunizations, prescriptions and limited over-the-counter drugs, specialty pharmacy, therapies, social work services, and care coordination. The Specialty Services segment provides pharmacy benefits management services; health, triage, wellness, and disease management services; vision and dental services; correctional healthcare services; home based primary care services; and integrated long-term care services, as well as care management software that automate the clinical, administrative, and technical components of care management programs. This segment offers its services and products to state programs, correctional facilities, healthcare organizations, employer groups, military service members and their families, and other commercial organizations. The company provides its services through primary and specialty care physicians, hospitals, and ancillary providers. Centene Corporation was founded in 1984 and is headquartered in St. Louis, Missouri."
CNP,CenterPoint Energy,"CenterPoint Energy, Inc. operates as a public utility holding company in the United States. The company's Electric Transmission & Distribution segment offers electric transmission and distribution services to retail electric providers, municipalities, electric cooperatives, and other distribution companies. As of December 31, 2017, this segment owned 28,883 pole miles of overhead distribution lines and 24,662 circuit miles of underground distribution lines; and 235 substations with a transformer capacity of 64,924 megavolt amperes, as well as operated 14 regional service centers. Its Natural Gas Distribution segment sells regulated intrastate natural gas; provides natural gas transportation and storage services for residential, commercial, industrial, and transportation customers; and offers unregulated services comprising residential appliance repair and maintenance services. As of December 31, 2017, this segment owned approximately 75,000 linear miles of natural gas distribution mains. The company's Energy Services segment provides physical natural gas supplies primarily to commercial and industrial customers, and electric and natural gas utilities; natural gas management services; and physical delivery services, as well as procures and optimizes transportation and storage assets. This segment owns and operates approximately 200 miles of intrastate pipelines; and leases transportation capacity on various interstate and intrastate pipelines, and storage. Its Midstream Investments segment offers natural gas and crude oil gathering, and natural gas processing services to its producer customers; and interstate and intrastate natural gas pipeline transportation and storage services to its producer, power plant, local distribution company, and industrial end-user customers. The company was founded in 1882 and is based in Houston, Texas."
CTL,CenturyLink Inc,"CenturyLink, Inc. provides various communications services to residential, business, wholesale, and governmental customers primarily in the United States. It operates in two segments, Business and Consumer. The company offers virtual private network data network services; Ethernet services; Internet protocol services; CenturyLink Prism TV that allows customers to watch television or cable channels and record up to four shows on one home digital video recorder; and Vyvx, which provides audio and video feeds over fiber or satellite for broadcast and production customers, as well as satellite digital television services. It also provides broadband services, which allow customers to connect to the Internet through their existing telephone lines or fiber-optic cables; private line solution for transmission of data between sites; colocation and data center services comprising cloud, hosting, and application management solutions; wavelength services that provide customers required bandwidth with an end-to-end transport solution of a bandwidth; and network security solutions, as well as sells telecommunications equipment and resells software, and provides network management, installation and maintenance of data equipment, and building of fiber-optic broadband networks. In addition, the company offers local calling services; long-distance and toll-free services; information technology (IT) services, such as transporting and delivering enterprise data and applications; and managed services consisting of network, hosting, cloud, and IT services. Further, it leases and subleases space in its office buildings, warehouses, and other properties. As of December 31, 2017, the company operated approximately 10.3 million total access lines; and served approximately 5.7 million broadband subscribers. CenturyLink, Inc. was founded in 1968 and is based in Monroe, Louisiana."
CERN,Cerner,"Cerner Corporation provides health care information technology solutions and services in the United States and internationally. The company offers Cerner Millennium architecture, a person-centric computing framework, which includes clinical, financial, and management information systems that allow providers to access an individual's electronic health record (EHR) at the point of care, and organizes and delivers information for physicians, nurses, laboratory technicians, pharmacists, front- and back-office professionals, and consumers. It also provides HealtheIntent platform, a cloud-based platform that enables organizations to aggregate, transform, and reconcile data across the continuum of care, as well as EHR agnostic platform, CareAware that facilitates connectivity of health care devices to EHRs. In addition, the company offers a portfolio of clinical and financial health care information technology solutions, as well as departmental, connectivity, population health, and care coordination solutions; and various complementary services, including support, hosting, managed, implementation, and strategic consulting services. Further, it provides various services, such as implementation and training, remote hosting, operational management, revenue cycle, support and maintenance, health care data analysis, clinical process optimization, transaction processing, employer health centers, employee wellness programs, and third party administrator services; and complementary hardware and devices for third parties. It serves integrated delivery networks, managed care organizations, hospitals, medical centers, reference laboratories, home health agencies, blood banks, imaging centers, pharmaceutical manufacturers, employers, governments, and public health organizations. It has a strategic collaboration with Christiana Care Health System to provide a weight loss surgery program. Cerner Corporation was founded in 1979 and is headquartered in North Kansas City, Missouri."
CF,CF Industries Holdings Inc,"CF Industries Holdings, Inc. manufactures and distributes nitrogen fertilizers and other nitrogen products worldwide. The company operates through Ammonia, Granular Urea, UAN, AN, and Other segments. Its principal nitrogen fertilizer products include ammonia, granular urea, urea ammonium nitrate, and ammonium nitrate. The company also offers diesel exhaust fluid, urea liquor, nitric acid, and aqua ammonia, as well as compound fertilizer products with nitrogen, phosphorus, and potassium. It offers products primarily to cooperatives, independent fertilizer distributors, farmers, and industrial users. CF Industries Holdings, Inc. was founded in 1946 and is headquartered in Deerfield, Illinois."
SCHW,Charles Schwab Corporation,"The Charles Schwab Corporation, through its subsidiaries, provides wealth management, securities brokerage, banking, asset management, custody, and financial advisory services. The company operates through two segments, Investor Services and Advisor Services. The Investor Services segment provides retail brokerage and banking services, retirement plan services, and other corporate brokerage services; equity compensation plan sponsors full-service recordkeeping for stock plans, stock options, restricted stock, performance shares, and stock appreciation rights; and retail investor, retirement plan, and mutual fund clearing services. The Advisor Services segment provides custodial, trading, and support services; and retirement business and corporate brokerage retirement services. This segment provides brokerage accounts with cash management capabilities; third-party mutual funds, as well as proprietary mutual funds, plus mutual fund trading, and clearing services to broker-dealers; and exchange-traded funds (ETFs), including proprietary and third-party ETFs. It also offers advice solutions, such as managed portfolios of proprietary and third-party mutual funds and ETFs, separately managed accounts, customized personal advice for tailored portfolios, and specialized planning and portfolio management. In addition, this segment provides banking products and services, including checking and savings accounts, certificates of deposit, first lien residential real estate mortgage loans, home equity loans and lines of credit, and pledged asset lines; and trust services comprising trust custody services, personal trust reporting services, and administrative trustee services. The company serves individuals and institutional clients in the United States, the Commonwealth of Puerto Rico, England, Hong Kong, Singapore, and Australia. The Charles Schwab Corporation was founded in 1971 and is headquartered in San Francisco, California."
CHTR,Charter Communications,"Charter Communications, Inc., through its subsidiaries, provides cable services to residential and commercial customers in the United States. It offers subscription-based video services, including video on demand, high definition television, digital video recorder, pay-per-view, spectrum guide services, and a package of basic video programming, as well as ad-supported free online video products. The company also provides Internet services, such as security suite that protects computers from viruses and spyware; in-home WiFi, which permits customers to lease high performance wireless routers to enhance their in-home wireless Internet experience; out-of-home WiFi; parental control features; and residential Internet services. In addition, it offers voice communications services using voice over Internet protocol technology; and broadband communications solutions, such as Internet access, data networking, fiber connectivity, video entertainment, and business telephone services to cellular towers and office buildings for business and carrier organizations. Further, the company provides video programming and music, Web hosting, email and security, and multi-line telephone services, as well as Web-based service management; and sells video and online advertising inventory to local, regional, and national advertising customers. Additionally, it offers fiber-delivered communications and managed information technology solutions; and security and home management services, as well as owns and operates regional sports networks and local sports, news, and lifestyle channels. As of December 31, 2017, the company served approximately 27.2 million residential and business customers. Charter Communications, Inc. was founded in 1999 and is based in Stamford, Connecticut."
CVX,Chevron Corp.,"Chevron Corporation, through its subsidiaries, engages in integrated energy, chemicals, and petroleum operations worldwide. The company operates in two segments, Upstream and Downstream. The Upstream segment is involved in the exploration, development, and production of crude oil and natural gas; processing, liquefaction, transportation, and regasification associated with liquefied natural gas; transportation of crude oil through pipelines; and transportation, storage, and marketing of natural gas, as well as operates a gas-to-liquids plant. The Downstream segment engages in refining crude oil into petroleum products; marketing crude oil and refined products; transporting crude oil and refined products through pipeline, marine vessel, motor equipment, and rail car; and manufacturing and marketing commodity petrochemicals, and fuel and lubricant additives, as well as plastics for industrial uses. It is also involved in the cash management and debt financing activities; insurance operations; real estate activities; and technology businesses. The company was formerly known as ChevronTexaco Corporation and changed its name to Chevron Corporation in 2005. The company has a strategic cooperation agreement with China National Offshore Oil Corporation. Chevron Corporation was founded in 1879 and is headquartered in San Ramon, California."
CMG,Chipotle Mexican Grill,"Chipotle Mexican Grill, Inc., together with its subsidiaries, operates Chipotle Mexican Grill restaurants. As of September 30, 2018, it operated 2,424 Chipotle restaurants in the United States, as well as 37 international Chipotle restaurants. The company was founded in 1993 and is headquartered in Newport Beach, California."
CB,Chubb Limited,"Chubb Limited, through its subsidiaries, provides insurance and reinsurance products worldwide. Its North America Commercial P&C Insurance segment offers commercial property, marine, general casualty, workers' compensation, package policies, and risk management; and professional lines, marine, construction, environmental, medical, cyber risk, and excess casualty, as well as group accident and health insurance to large, middle market, and small commercial businesses in the United States, Canada, and Bermuda. Its North America Personal P&C Insurance segment provides affluent and high net worth individuals and families with homeowners, automobile and collector cars, valuable articles, personal and excess liability, travel insurance, and recreational marine insurance and services in the United States and Canada. Its North America Agricultural Insurance segment offers multiple peril crop and crop-hail insurance; and coverage for farm and ranch property, as well as commercial agriculture products. Its Overseas General Insurance segment provides coverage for traditional commercial property and casualty; and specialty categories, such as financial lines, marine, energy, aviation, political risk, and construction risk, as well as group accident and health, and traditional and specialty personal lines for large corporations, middle markets, and small customers through retail brokers, agents, and other channels. Its Global Reinsurance segment offers traditional and specialty reinsurance under the Chubb Tempest Re brand name to property and casualty companies. Its Life Insurance segment provides protection and savings products comprising whole life, endowment plans, individual term life, group term life, medical and health, personal accident, credit life, universal life, and unit linked contracts. The company was formerly known as ACE Limited and changed its name to Chubb Limited in January 2016. Chubb Limited was founded in 1985 and is headquartered in Zurich, Switzerland."
CHD,Church & Dwight,"Church & Dwight Co., Inc. develops, manufactures, and markets household, personal care, and specialty products. The company operates through three segments: Consumer Domestic, Consumer International, and the Specialty Products Division. It offers baking soda, cat litter, carpet deodorization, and laundry detergent products under the ARM & HAMMER brand; condoms, lubricants, and vibrators TROJAN brand; stain removers, cleaning solutions, laundry detergents, dishwashing detergents, and bleach alternatives under the OXICLEAN brand; battery-operated and manual toothbrushes under the SPINBRUSH brand; home pregnancy and ovulation test kits under the FIRST RESPONSE brand; depilatories under the NAIR brand; oral analgesic products under the ORAJEL brand; laundry detergents under the XTRA brand; gummy dietary supplements under the L'IL CRITTERS and VITAFUSION brands; dry shampoos under the BATISTE brand; and water flossers and replacement showerheads under the WATERPIK brand. The company also provides specialty products, including animal productivity products, such as MEGALAC rumen bypass fat, a supplement, which enables cows to maintain energy levels during the period of high milk production; BIO-CHLOR and FERMENTEN, which are designed to help reduce health issues associated with calving, as well as provides needed protein; and CELMANAX refined functional carbohydrate, a yeast based prebiotic. In addition, it offers sodium bicarbonate for use in industrial markets; and cleaning and deodorizing products for use in office buildings, hotels, restaurants, and other facilities. The company sells its consumer products through supermarkets, mass merchandisers, wholesale clubs, drugstores, convenience stores, home stores, dollar and pet stores, and other specialty stores, as well as through Websites; and specialty products to industrial customers and livestock producers through distributors. The company was founded in 1846 and is headquartered in Ewing, New Jersey."
CI,CIGNA Corp.,"Cigna Corporation, a health services organization, provides insurance and related products and services in the United States and internationally. It operates through Global Health Care, Global Supplemental Benefits, Group Disability and Life, and Other Operations segments. The Global Health Care segment offers medical, dental, behavioral health, vision, and prescription drug benefit plans, as well as health advocacy programs, and other products and services to insured and self-insured customers. This segment also provides Medicare Advantage and Medicare Part D plans to seniors, and Medicaid plans. The Global Supplemental Benefits segment offers supplemental health, life, and accident insurance products. The Group Disability and Life segment provides group long-term and short-term disability, group life, accident, and specialty insurance products and related services. The Other Operations segment offers corporate-owned life insurance products that are permanent insurance contracts sold to corporations to provide coverage. The company distributes its products and services through insurance brokers and insurance consultants; and directly to employers, unions and other groups, or individuals, as well as through direct response television and the Internet. Cigna Corporation was founded in 1792 and is headquartered in Bloomfield, Connecticut."
XEC,Cimarex Energy,"Cimarex Energy Co. operates as an independent oil and gas exploration and production company primarily in Oklahoma, Texas, and New Mexico. As of December 31, 2017, it had a total proved oil and gas reserves of 3.35 trillion cubic feet equivalent (Tcfe) consisting of 1.61 trillion cubic feet of natural gas, 0.82 Tcfe of oil, and 0.92 Tcfe of natural gas liquids primarily located in the Mid-Continent and Permian Basin regions. The company also owned interests in 3,083 net productive oil and gas wells. Cimarex Energy Co. was founded in 2002 and is headquartered in Denver, Colorado."
CINF,Cincinnati Financial,"Cincinnati Financial Corporation provides property casualty insurance products in the United States. The company operates in five segments: Commercial Lines Insurance, Personal Lines Insurance, Excess and Surplus Lines Insurance, Life Insurance, and Investments. The Commercial Lines Insurance segment provides coverage for commercial casualty, commercial property, commercial auto, and workers' compensation. It also offers director and officer liability insurance, contract and commercial surety bonds, and fidelity bonds; coverage for property, liability, and business interruption; and machinery and equipment coverage. The Personal Lines Insurance segment provides personal auto insurance; homeowners insurance; and dwelling fire, inland marine, personal umbrella liability, and watercraft coverages to individuals. The Excess and Surplus Lines Insurance segment offers commercial casualty insurance that covers businesses for third-party liability from accidents occurring on their premises or arising out of their operations, such as injuries sustained from products; and commercial property insurance, which insures buildings, inventory, equipment, and business income from loss or damage due to causes, such as fire, wind, hail, water, theft, and vandalism. The Life Insurance segment provides term life insurance products; universal life insurance products; worksite products, such as term life, whole life, and disability insurance offered to employees through their employer; and whole life insurance products, as well as markets disability income insurance, deferred annuities, and immediate annuities. The Investments segment invests in fixed-maturity investments, including taxable and tax-exempt bonds, and redeemable preferred stocks; and equity investments comprising common and nonredeemable preferred stocks. The company also offers commercial leasing and financing services. Cincinnati Financial Corporation was founded in 1950 and is headquartered in Fairfield, Ohio."
CTAS,Cintas Corporation,"Cintas Corporation provides corporate identity uniforms and related business services primarily in North America, Latin America, Europe, and Asia. It operates through Uniform Rental and Facility Services and First Aid and Safety Services segments. The company rents and services uniforms and other garments, including flame resistant clothing, mats, mops and shop towels, and other ancillary items; and provides restroom cleaning services and supplies, and carpet and tile cleaning services, as well as sells uniforms directly. It also offers first aid and safety services, and fire protection products and services. The company offers its products and services through its distribution network and local delivery routes, or local representatives to small service and manufacturing companies, as well as major corporations. Cintas Corporation was founded in 1968 and is based in Cincinnati, Ohio."
CSCO,Cisco Systems,"Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry worldwide. The company offers switching products; routing products that interconnect public and private wireline and mobile networks; data center products; and wireless access points for use in voice, video, and data applications. It also provides collaboration products comprising unified communications, TelePresence, and conferencing, as well as the Internet of Things and analytics software. In addition, the company offers security products, including network and data center security, advanced threat protection, Web and email security, access and policy, unified threat management, advisory, integration, and managed services; and other products, such as service provider video software and solutions, and cloud and system management products. Further, it offers technical support services and advanced services; and hyperconvergence software, cloud calling and contact center solutions, and AI-driven relationship intelligence platform. The company serves businesses of various sizes, public institutions, governments, and service providers. It sells its products directly, as well as through channel partners, such as systems integrators, service providers, other resellers, and distributors. The company was founded in 1984 and is headquartered in San Jose, California."
C,Citigroup Inc.,"Citigroup Inc., a diversified financial services holding company, provides various financial products and services for consumers, corporations, governments, and institutions. The company operates through two segments, Global Consumer Banking (GCB) and Institutional Clients Group (ICG). The GCB segment offers traditional banking services to retail customers through retail banking, commercial banking, Citi-branded cards, and Citi retail services. It also provides various banking, credit card lending, and investment services through a network of local branches, offices, and electronic delivery systems. The ICG segment provides wholesale banking products and services, including fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance, and securities services to corporate, institutional, public sector, and high-net-worth clients. The company operates in North America, Latin America, Asia, Europe, the Middle East, and Africa. Citigroup Inc. was founded in 1812 and is based in New York, New York."
